Basic Testing
Serial.c
1 3
2 6
3 9
4 12
5 15
6 18
7 21
8 25
9 28
10 31

Processes Testing

Testing 1
1 3
2 6
3 9
4 12
5 14
6 18
7 21
8 24
9 28
10 28

Testing 2
1 4
2 4
3 7
4 8
5 9
6 12
7 12
8 15
9 15
10 16

Testing 4
1 4
2 4
3 5
4 6
5 6
6 9
7 9
8 9
9 11
10 12

Testing 8
1 4
2 4
3 5
4 6
5 6
6 9
7 9
8 9
9 11
10 12

Threads Testing

Testing 1
1 4
2 7
3 10
4 13
5 15
6 19
7 22
8 26
9 29
10 29

Testing 2
1 2
2 3
3 5
4 6
5 8
6 10
7 11
8 13
9 15
10 15

Testing 4
1 1
2 1
3 2
4 3
5 4
6 5
7 6
8 7
9 8
10 8

Testing 8
1 1
2 2
3 2
4 4
5 4
6 5
7 6
8 7
9 8
10 8

Testing 16
1 0
2 1
3 2
4 3
5 3
6 4
7 5
8 6
9 7
10 7

Best cases of Each

1 0
2 1
3 2
4 3
5 4
6 5
7 6
8 7
9 8
10 9
